DATE,value,change,pct change
2/1/2017,1218559,,
3/1/2017,1239700,21141,1.734918047
4/1/2017,1262588,22888,1.846253126
5/1/2017,1322569,59981,4.750639163
6/1/2017,1363005,40436,3.057383017
7/1/2017,1396513,33508,2.458391569
8/1/2017,1435655,39142,2.802838212
9/1/2017,1413816,-21839,-1.521187193
10/1/2017,1393690,-20126,-1.423523287
11/1/2017,1328836,-64854,-4.65340212
12/1/2017,1219598,-109238,-8.22057801
1/1/2018,1129765,-89833,-7.365787743
2/1/2018,1130608,843,0.074617288
3/1/2018,1151862,21254,1.879873484
4/1/2018,1193080,41218,3.578380049
5/1/2018,1254086,61006,5.113320146
6/1/2018,1320045,65959,5.259527656
7/1/2018,1367969,47924,3.630482294
8/1/2018,1392669,24700,1.805596472
9/1/2018,1416029,23360,1.677354777
10/1/2018,1416319,290,0.020479807
11/1/2018,1382050,-34269,-2.419582029
12/1/2018,1288587,-93463,-6.762635216
1/1/2019,1204689,-83898,-6.510852585
2/1/2019,1195248,-9441,-0.78368774
3/1/2019,1207857,12609,1.054927513
4/1/2019,1232130,24273,2.009592195
5/1/2019,1278895,46765,3.795459895
6/1/2019,1324118,45223,3.536099523
7/1/2019,1345333,21215,1.602198596
8/1/2019,1332749,-12584,-0.935381798
9/1/2019,1316825,-15924,-1.194823631
10/1/2019,1310899,-5926,-0.450021833
11/1/2019,1244837,-66062,-5.039442398
12/1/2019,1125557,-119280,-9.581977399
1/1/2020,1032583,-92974,-8.260265806
2/1/2020,1006205,-26378,-2.554564621
3/1/2020,1012439,6234,0.619555657
4/1/2020,1024443,12004,1.185651679
5/1/2020,1003219,-21224,-2.071759971
6/1/2020,939748,-63471,-6.326734242
7/1/2020,886577,-53171,-5.658006189
8/1/2020,839770,-46807,-5.279518869
9/1/2020,806132,-33638,-4.005620587
10/1/2020,789248,-16884,-2.094446071
11/1/2020,747839,-41409,-5.246639839
12/1/2020,660335,-87504,-11.70091423
1/1/2021,571491,-88844,-13.454383
2/1/2021,497753,-73738,-12.90274038
3/1/2021,471119,-26634,-5.350846705
4/1/2021,465964,-5155,-1.094203375
5/1/2021,477951,11987,2.572516332
6/1/2021,521723,43772,9.158260993
7/1/2021,571731,50008,9.585163008
8/1/2021,615621,43890,7.676687113
9/1/2021,621196,5575,0.90558964
10/1/2021,611928,-9268,-1.491960669
11/1/2021,553510,-58418,-9.54654796
12/1/2021,483266,-70244,-12.69064696
