Date,Close
2012-01,2847.851578947368
2012-02,2969.5775000000003
2012-03,3039.079090909091
2012-04,2992.8352631578946
2012-05,2892.9890909090914
2012-06,2899.1077272727275
2012-07,2932.832857142858
2012-08,3027.5945454545454
2012-09,3064.4785714285713
2012-10,2993.084736842105
2012-11,2935.263333333334
2012-12,2983.9295238095233
2013-01,3263.0125714285714
2013-02,3306.5688333333333
2013-03,3349.22065
2013-04,3359.632761904762
2013-05,3496.802391304348
2013-06,3467.32085
2013-07,3546.5747142857135
2013-08,3549.338304347826
2013-09,3676.9270000000006
2013-10,3772.650954545454
2013-11,3778.651818181818
2013-12,3870.2146666666667
2014-01,4227.975100000001
2014-02,4318.347842105263
2014-03,4303.845652173913
2014-04,4213.353700000001
2014-05,4246.609285714286
2014-06,4335.827050000002
2014-07,4375.724304347826
2014-08,4462.600571428572
2014-09,4462.058500000001
2014-10,4385.0882
2014-11,4576.60025
2014-12,4600.5176
2015-01,4757.3819
2015-02,4926.008650000001
2015-03,4953.192799999999
2015-04,5001.046863636363
2015-05,5012.2854
2015-06,5000.961571428571
2015-07,5064.565954545455
2015-08,4872.673142857142
2015-09,4813.30691304348
2015-10,4954.241260869565
2015-11,5015.616578947369
2015-12,4979.142809523809
2016-01,4722.463095238096
2016-02,4705.5312631578945
2016-03,4835.662809523809
2016-04,4903.26909090909
2016-05,4881.957636363636
2016-06,4884.044909090909
2016-07,5059.590863636364
2016-08,5106.961086956522
2016-09,5154.633772727273
2016-10,5122.3869
2016-11,5153.650227272727
2016-12,5264.058913043479
2017-01,5854.296523809524
2017-02,5946.85147368421
2017-03,5946.556541666666
2017-04,6026.1957647058825
2017-05,6167.248799999999
2017-06,6192.998666666666
2017-07,6316.265136363637
2017-08,6294.042181818184
2017-09,6324.24838095238
2017-10,6410.67340909091
2017-11,6599.23076190476
2017-12,6654.6278
2018-01,7452.635904761906
2018-02,7306.468095238095
2018-03,7315.149799999997
2018-04,7287.993047619046
2018-05,7402.026520000001
2018-06,7587.727730769231
2018-07,7689.6054
2018-08,7730.708538461537
2018-09,7771.647040000002
2018-10,7392.35916
2018-11,7245.77108
2018-12,6991.685625000002
2019-01,7395.452857142856
2019-02,7638.412611111111
2019-03,7727.435999999998
2019-04,7941.473809523809
2019-05,7786.974217391305
2019-06,7945.049549999999
2019-07,8057.153772727273
2019-08,7851.245695652173
2019-09,8053.021095238095
2019-10,8096.6894999999995
2019-11,8323.317615384614
2019-12,8560.346521739131
2020-01,9530.276123999998
2020-02,9720.924733333333
2020-03,8441.600263636363
2020-04,9218.142760869565
2020-05,9575.281768421051
2020-06,9895.436333333333
2020-07,10386.736078260872
2020-08,10857.451404545454
2020-09,10677.998013636365
2020-10,11047.028443478262
2020-11,11144.329270000004
2020-12,11798.25457
2021-01,13779.344261904762
2021-02,14063.008470588235
2021-03,13664.910152380951
2021-04,13971.852022727275
2021-05,13713.471590000005
2021-06,14235.313149999996
2021-07,14532.081695454543
2021-08,14669.924082608695
2021-09,14764.054339130435
2021-10,14863.623276190474
2021-11,15103.319184210532
2021-12,14961.543052173916
