date,value
2017-01,19908.1525
2017-02,20424.144210526316
2017-03,20823.05782608696
2017-04,20684.693684210528
2017-05,20936.811363636363
2017-06,21317.79545454545
2017-07,21581.250999999997
2017-08,21914.07695652174
2017-09,22173.414000000008
2017-10,23036.23727272727
2017-11,23557.929523809526
2017-12,24545.384000000002
2018-01,25804.01761904762
2018-02,24981.545263157896
2018-03,24582.170476190473
2018-04,24304.212857142862
2018-05,24572.532272727272
2018-06,24790.108095238094
2018-07,24978.231428571427
2018-08,25629.98826086956
2018-09,26232.66789473684
2018-10,25609.341739130436
2018-11,25258.675238095242
2018-12,23805.545263157896
2019-01,24157.795238095237
2019-02,25605.52684210526
2019-03,25722.620952380956
2019-04,26401.577142857142
2019-05,25744.78863636364
2019-06,26160.101000000002
2019-07,27089.186818181824
2019-08,26058.225000000002
2019-09,26900.214
2019-10,26736.796086956525
2019-11,27797.046000000002
2019-12,28167.005714285715
2020-01,28879.99428571428
2020-02,28519.73157894737
2020-03,22637.420909090903
2020-04,23293.9
2020-05,24271.021499999995
2020-06,26062.269999999993
2020-07,26385.83090909091
2020-08,27821.367142857147
2020-09,27733.396190476193
2020-10,28005.104999999992
2020-11,29124.0365
2020-12,30148.580000000005
2021-01,30821.352631578946
2021-02,31283.910000000003
2021-03,32373.29086956522
2021-04,33803.28619047619
2021-05,34270.3085
2021-06,34289.90727272727
2021-07,34798.80428571429
2021-08,35243.965454545454
2021-09,34688.421428571426
2021-10,35055.5180952381
2021-11,35848.57095238095
2021-12,35363.68076923077
