Category,DateTime,m1_val,m1_chg,m1_pct
Money Supply M1,1/31/2017,3398.2,52.8,0.385498205
Money Supply M1,2/28/2017,3411.3,13.1,0.385498205
Money Supply M1,3/31/2017,3456.2,44.9,1.31621376
Money Supply M1,4/30/2017,3450.1,-6.1,-0.176494416
Money Supply M1,5/31/2017,3512.8,62.7,1.817338628
Money Supply M1,6/30/2017,3520.9,8.1,0.230585288
Money Supply M1,7/31/2017,3541.8,20.9,0.593598228
Money Supply M1,8/31/2017,3580.3,38.5,1.087017901
Money Supply M1,9/30/2017,3563.4,-16.9,-0.472027484
Money Supply M1,10/31/2017,3601.2,37.8,1.060784644
Money Supply M1,11/30/2017,3631.9,30.7,0.852493613
Money Supply M1,12/31/2017,3618.9,-13,-0.357939371
Money Supply M1,1/31/2018,3668.4,49.5,1.367818951
Money Supply M1,2/28/2018,3633.9,-34.5,-0.940464508
Money Supply M1,3/31/2018,3672.5,38.6,1.062219654
Money Supply M1,4/30/2018,3653.6,-18.9,-0.514635807
Money Supply M1,5/31/2018,3646.2,-7.4,-0.202539961
Money Supply M1,6/30/2018,3644.7,-1.5,-0.04113872
Money Supply M1,7/31/2018,3669.2,24.5,0.672208961
Money Supply M1,8/31/2018,3682.7,13.5,0.367927614
Money Supply M1,9/30/2018,3692.3,9.6,0.260678307
Money Supply M1,10/31/2018,3721.5,29.2,0.790834981
Money Supply M1,11/30/2018,3708.4,-13.1,-0.352008599
Money Supply M1,12/31/2018,3771.2,62.8,1.693452702
Money Supply M1,1/31/2019,3772.9,1.7,0.04507849
Money Supply M1,2/28/2019,3783.4,10.5,0.278300512
Money Supply M1,3/31/2019,3746.4,-37,-0.977956336
Money Supply M1,4/30/2019,3770.6,24.2,0.645953449
Money Supply M1,5/31/2019,3775.4,4.8,0.127300695
Money Supply M1,6/30/2019,3813.4,38,1.006515866
Money Supply M1,7/31/2019,3844.8,31.4,0.823412178
Money Supply M1,8/31/2019,3844,-0.8,-0.020807324
Money Supply M1,9/30/2019,3887.7,43.7,1.136836629
Money Supply M1,10/31/2019,3926.1,38.4,0.987730535
Money Supply M1,11/30/2019,3955.6,29.5,0.751381778
Money Supply M1,12/31/2019,4011.2,55.6,1.405602184
Money Supply M1,1/31/2020,4019.2,8,0.199441564
Money Supply M1,2/29/2020,4028.4,9.2,0.228901274
Money Supply M1,3/31/2020,4281.3,252.9,6.27792672
Money Supply M1,4/30/2020,4774.4,493.1,11.51752972
Money Supply M1,5/31/2020,16262,11487.6,240.608244
Money Supply M1,6/30/2020,16583.8,321.8,1.97884639
Money Supply M1,7/31/2020,16773.8,190,1.145696403
Money Supply M1,8/31/2020,16887,113.2,0.674861987
Money Supply M1,9/30/2020,17156.8,269.8,1.597678688
Money Supply M1,10/31/2020,17346.8,190,1.107432621
Money Supply M1,11/30/2020,17589.1,242.3,1.39679941
Money Supply M1,12/31/2020,17812.4,223.3,1.269536247
Money Supply M1,1/31/2021,18100.6,288.2,1.617973996
Money Supply M1,2/28/2021,18389.4,288.8,1.59552722
Money Supply M1,3/31/2021,18669.4,280,1.52261629
Money Supply M1,4/30/2021,18915.7,246.3,1.319271107
Money Supply M1,5/31/2021,19192.9,277.2,1.465449336
Money Supply M1,6/30/2021,19238.2,45.3,0.23602478
Money Supply M1,7/31/2021,19401.7,163.5,0.84987161
Money Supply M1,8/31/2021,19677.7,276,1.422555755
Money Supply M1,9/30/2021,19862.2,184.5,0.937609578
Money Supply M1,10/31/2021,20083.1,220.9,1.112162802
Money Supply M1,11/30/2021,20345,261.9,1.304081541
