symbol,date,value,Value Difference
erntsldsoq176n,2017-04-01,455,
erntsldsoq176n,2017-07-01,571,116.0
erntsldsoq176n,2017-10-01,407,-164.0
erntsldsoq176n,2018-01-01,451,44.0
erntsldsoq176n,2018-04-01,536,85.0
erntsldsoq176n,2018-07-01,451,-85.0
erntsldsoq176n,2018-10-01,419,-32.0
erntsldsoq176n,2019-01-01,416,-3.0
erntsldsoq176n,2019-04-01,469,53.0
erntsldsoq176n,2019-07-01,461,-8.0
erntsldsoq176n,2019-10-01,409,-52.0
erntsldsoq176n,2020-01-01,351,-58.0
erntsldsoq176n,2020-04-01,397,46.0
erntsldsoq176n,2020-07-01,350,-47.0
erntsldsoq176n,2020-10-01,404,54.0
erntsldsoq176n,2021-01-01,348,-56.0
erntsldsoq176n,2021-04-01,451,103.0
erntsldsoq176n,2021-07-01,440,-11.0
