Category,DateTime,unemp_val,unemp_chg,unemp_pct
Unemployment Rate,1/31/2017,4.7,-0.1,-2.127659574
Unemployment Rate,2/28/2017,4.6,-0.1,-2.127659574
Unemployment Rate,3/31/2017,4.4,-0.2,-4.347826087
Unemployment Rate,4/30/2017,4.4,0,0
Unemployment Rate,5/31/2017,4.4,0,0
Unemployment Rate,6/30/2017,4.3,-0.1,-2.272727273
Unemployment Rate,7/31/2017,4.3,0,0
Unemployment Rate,8/31/2017,4.4,0.1,2.325581395
Unemployment Rate,9/30/2017,4.3,-0.1,-2.272727273
Unemployment Rate,10/31/2017,4.2,-0.1,-2.325581395
Unemployment Rate,11/30/2017,4.2,0,0
Unemployment Rate,12/31/2017,4.1,-0.1,-2.380952381
Unemployment Rate,1/31/2018,4,-0.1,-2.43902439
Unemployment Rate,2/28/2018,4.1,0.1,2.5
Unemployment Rate,3/31/2018,4,-0.1,-2.43902439
Unemployment Rate,4/30/2018,4,0,0
Unemployment Rate,5/31/2018,3.8,-0.2,-5
Unemployment Rate,6/30/2018,4,0.2,5.263157895
Unemployment Rate,7/31/2018,3.8,-0.2,-5
Unemployment Rate,8/31/2018,3.8,0,0
Unemployment Rate,9/30/2018,3.7,-0.1,-2.631578947
Unemployment Rate,10/31/2018,3.8,0.1,2.702702703
Unemployment Rate,11/30/2018,3.8,0,0
Unemployment Rate,12/31/2018,3.9,0.1,2.631578947
Unemployment Rate,1/31/2019,4,0.1,2.564102564
Unemployment Rate,2/28/2019,3.8,-0.2,-5
Unemployment Rate,3/31/2019,3.8,0,0
Unemployment Rate,4/30/2019,3.6,-0.2,-5.263157895
Unemployment Rate,5/31/2019,3.6,0,0
Unemployment Rate,6/30/2019,3.6,0,0
Unemployment Rate,7/31/2019,3.7,0.1,2.777777778
Unemployment Rate,8/31/2019,3.7,0,0
Unemployment Rate,9/30/2019,3.5,-0.2,-5.405405405
Unemployment Rate,10/31/2019,3.6,0.1,2.857142857
Unemployment Rate,11/30/2019,3.6,0,0
Unemployment Rate,12/31/2019,3.6,0,0
Unemployment Rate,1/31/2020,3.5,-0.1,-2.777777778
Unemployment Rate,2/29/2020,3.5,0,0
Unemployment Rate,3/31/2020,4.4,0.9,25.71428571
Unemployment Rate,4/30/2020,14.7,10.3,234.0909091
Unemployment Rate,5/31/2020,13.2,-1.5,-10.20408163
Unemployment Rate,6/30/2020,11,-2.2,-16.66666667
Unemployment Rate,7/31/2020,10.2,-0.8,-7.272727273
Unemployment Rate,8/31/2020,8.4,-1.8,-17.64705882
Unemployment Rate,9/30/2020,7.9,-0.5,-5.952380952
Unemployment Rate,10/31/2020,6.9,-1,-12.65822785
Unemployment Rate,11/30/2020,6.7,-0.2,-2.898550725
Unemployment Rate,12/31/2020,6.7,0,0
Unemployment Rate,1/31/2021,6.4,-0.3,-4.47761194
Unemployment Rate,2/28/2021,6.2,-0.2,-3.125
Unemployment Rate,3/31/2021,6,-0.2,-3.225806452
Unemployment Rate,4/30/2021,6,0,0
Unemployment Rate,5/31/2021,5.8,-0.2,-3.333333333
Unemployment Rate,6/30/2021,5.9,0.1,1.724137931
Unemployment Rate,7/31/2021,5.4,-0.5,-8.474576271
Unemployment Rate,8/31/2021,5.2,-0.2,-3.703703704
Unemployment Rate,9/30/2021,4.7,-0.5,-9.615384615
Unemployment Rate,10/31/2021,4.6,-0.1,-2.127659574
Unemployment Rate,11/30/2021,4.2,-0.4,-8.695652174
Unemployment Rate,12/31/2021,3.9,-0.3,-7.142857143
