Country,Category,DateTime,int_val,int_chg,int_pct
United States,Interest Rate,1/31/2017,0.75,0,0
United States,Interest Rate,2/1/2017,0.75,0,0
United States,Interest Rate,3/15/2017,1,0.25,33.33333333
United States,Interest Rate,4/30/2017,1,0,0
United States,Interest Rate,5/3/2017,1,0,0
United States,Interest Rate,6/14/2017,1.25,0.25,25
United States,Interest Rate,7/26/2017,1.25,0,0
United States,Interest Rate,8/31/2017,1.25,0,0
United States,Interest Rate,9/20/2017,1.25,0,0
United States,Interest Rate,10/31/2017,1.25,0,0
United States,Interest Rate,11/1/2017,1.25,0,0
United States,Interest Rate,12/13/2017,1.5,0.25,20
United States,Interest Rate,1/31/2018,1.5,0,0
United States,Interest Rate,2/28/2018,1.5,0,0
United States,Interest Rate,3/21/2018,1.75,0.25,16.66666667
United States,Interest Rate,4/30/2018,1.75,0,0
United States,Interest Rate,5/2/2018,1.75,0,0
United States,Interest Rate,6/13/2018,2,0.25,14.28571429
United States,Interest Rate,7/31/2018,2,0,0
United States,Interest Rate,8/1/2018,2,0,0
United States,Interest Rate,9/26/2018,2.25,0.25,12.5
United States,Interest Rate,10/31/2018,2.25,0,0
United States,Interest Rate,11/8/2018,2.25,0,0
United States,Interest Rate,12/19/2018,2.5,0.25,11.11111111
United States,Interest Rate,1/30/2019,2.5,0,0
United States,Interest Rate,2/28/2019,2.5,0,0
United States,Interest Rate,3/20/2019,2.5,0,0
United States,Interest Rate,4/30/2019,2.5,0,0
United States,Interest Rate,5/1/2019,2.5,0,0
United States,Interest Rate,6/19/2019,2.5,0,0
United States,Interest Rate,7/31/2019,2.25,-0.25,-10
United States,Interest Rate,8/31/2019,2.25,0,0
United States,Interest Rate,9/18/2019,2,-0.25,-11.11111111
United States,Interest Rate,10/30/2019,1.75,-0.25,-12.5
United States,Interest Rate,11/30/2019,1.75,0,0
United States,Interest Rate,12/11/2019,1.75,0,0
United States,Interest Rate,1/29/2020,1.75,0,0
United States,Interest Rate,2/29/2020,1.75,0,0
United States,Interest Rate,3/15/2020,0.25,-1.5,-85.71428571
United States,Interest Rate,4/29/2020,0.25,0,0
United States,Interest Rate,5/31/2020,0.25,0,0
United States,Interest Rate,6/10/2020,0.25,0,0
United States,Interest Rate,7/29/2020,0.25,0,0
United States,Interest Rate,8/31/2020,0.25,0,0
United States,Interest Rate,9/16/2020,0.25,0,0
United States,Interest Rate,10/31/2020,0.25,0,0
United States,Interest Rate,11/5/2020,0.25,0,0
United States,Interest Rate,12/16/2020,0.25,0,0
United States,Interest Rate,1/27/2021,0.25,0,0
United States,Interest Rate,2/28/2021,0.25,0,0
United States,Interest Rate,3/17/2021,0.25,0,0
United States,Interest Rate,4/28/2021,0.25,0,0
United States,Interest Rate,5/31/2021,0.25,0,0
United States,Interest Rate,6/16/2021,0.25,0,0
United States,Interest Rate,7/28/2021,0.25,0,0
United States,Interest Rate,8/31/2021,0.25,0,0
United States,Interest Rate,9/22/2021,0.25,0,0
United States,Interest Rate,10/31/2021,0.25,0,0
United States,Interest Rate,11/3/2021,0.25,0,0
United States,Interest Rate,12/15/2021,0.25,0,0
