Date,sp_open,sp_hi,sp_lo,sp_close,sp_chg,sp_pct
17-Dec,"2,645.10","2,694.97","2,605.52","2,673.61",-26.03,-0.973590015
17-Nov,"2,583.21","2,657.74","2,557.45","2,647.58",-26.03,-0.973590015
17-Oct,"2,521.20","2,582.98","2,520.40","2,575.26",-72.32,-2.731551077
17-Sep,"2,474.42","2,519.44","2,446.55","2,519.36",-55.90,-2.170654614
17-Aug,"2,477.10","2,490.87","2,417.35","2,471.65",-47.71,-1.893734917
17-Jul,"2,431.39","2,484.04","2,407.70","2,470.30",-1.35,-0.054619384
17-Jun,"2,415.65","2,453.82","2,405.70","2,423.41",-46.89,-1.898150022
17-May,"2,388.50","2,418.71","2,352.72","2,411.80",-11.61,-0.479077003
17-Apr,"2,362.34","2,398.16","2,328.95","2,384.20",-27.60,-1.144373497
17-Mar,"2,380.13","2,400.98","2,322.25","2,362.72",-21.48,-0.90093113
17-Feb,"2,285.59","2,371.54","2,271.65","2,363.64",0.92,0.038938173
17-Jan,"2,251.57","2,300.99","2,245.13","2,278.87",-84.77,-3.586417559
18-Dec,"2,790.50","2,800.18","2,346.58","2,506.85",227.98,10.00408097
18-Nov,"2,717.58","2,815.15","2,631.09","2,760.17",253.32,10.10511199
18-Oct,"2,926.29","2,939.86","2,603.54","2,711.74",-48.43,-1.754602072
18-Sep,"2,896.96","2,940.91","2,864.12","2,913.98",202.24,7.457942133
18-Aug,"2,821.17","2,916.50","2,796.34","2,901.52",-12.46,-0.427593875
18-Jul,"2,704.95","2,848.03","2,698.95","2,816.29",-85.23,-2.937425901
18-Jun,"2,718.70","2,791.47","2,691.99","2,718.37",-97.92,-3.476914664
18-May,"2,643.64","2,742.24","2,594.62","2,705.27",-13.10,-0.481906437
18-Apr,"2,633.45","2,717.49","2,553.80","2,648.05",-57.22,-2.115130837
18-Mar,"2,715.22","2,801.90","2,585.89","2,640.87",-7.18,-0.271142916
18-Feb,"2,816.45","2,835.96","2,532.69","2,713.83",72.96,2.76272592
18-Jan,"2,683.73","2,872.87","2,682.36","2,823.81",109.98,4.052575143
19-Dec,"3,143.85","3,247.93","3,070.33","3,230.78",406.97,14.41208863
19-Nov,"3,050.72","3,154.26","3,050.72","3,140.98",-89.80,-2.779514544
19-Oct,"2,983.69","3,050.10","2,855.94","3,037.56",-103.42,-3.292602946
19-Sep,"2,909.01","3,021.99","2,891.85","2,976.74",-60.82,-2.002264976
19-Aug,"2,980.32","3,013.59","2,822.12","2,926.46",-50.28,-1.689096125
19-Jul,"2,971.41","3,027.98","2,952.22","2,980.38",53.92,1.842499129
19-Jun,"2,751.53","2,964.15","2,728.81","2,941.76",-38.62,-1.295807917
19-May,"2,952.33","2,954.13","2,750.52","2,752.06",-189.70,-6.448520614
19-Apr,"2,848.63","2,949.52","2,848.63","2,945.83",193.77,7.040907538
19-Mar,"2,798.22","2,860.31","2,722.27","2,834.40",-111.43,-3.782635115
19-Feb,"2,702.32","2,813.49","2,681.83","2,784.49",-49.91,-1.760866497
19-Jan,"2,476.96","2,708.95","2,443.96","2,704.10",-80.39,-2.887063699
20-Dec,"3,645.87","3,760.20","3,633.40","3,756.07","1,051.97",38.90277726
20-Nov,"3,296.20","3,645.99","3,279.74","3,621.63",-134.44,-3.579273017
20-Oct,"3,385.87","3,549.85","3,233.94","3,269.96",-351.67,-9.710268581
20-Sep,"3,507.44","3,588.11","3,209.45","3,363.00",93.04,2.845294744
20-Aug,"3,288.26","3,514.77","3,284.53","3,500.31",137.31,4.082961641
20-Jul,"3,105.92","3,279.99","3,101.17","3,271.12",-229.19,-6.547705775
20-Jun,"3,038.78","3,233.13","2,965.66","3,100.29",-170.83,-5.22237032
20-May,"2,869.09","3,068.67","2,766.64","3,044.31",-55.98,-1.805637537
20-Apr,"2,498.08","2,954.86","2,447.49","2,912.43",-131.88,-4.332016122
20-Mar,"2,974.28","3,136.72","2,191.86","2,584.59",-327.84,-11.25657956
20-Feb,"3,235.66","3,393.52","2,855.84","2,954.22",369.63,14.30130117
20-Jan,"3,244.67","3,337.77","3,214.64","3,225.52",271.30,9.183473133
21-Dec,"4,602.82","4,808.93","4,495.12","4,766.18","1,540.66",47.76470151
21-Nov,"4,610.62","4,743.83","4,560.00","4,567.00",-199.18,-4.179028069
21-Oct,"4,317.16","4,608.08","4,278.94","4,605.38",38.38,0.840376615
21-Sep,"4,528.80","4,545.85","4,305.91","4,307.54",-297.84,-6.467218775
21-Aug,"4,406.86","4,537.36","4,367.73","4,522.68",215.14,4.99449802
21-Jul,"4,300.73","4,429.97","4,233.13","4,395.26",-127.42,-2.817356081
21-Jun,"4,216.52","4,302.43","4,164.40","4,297.50",-97.76,-2.224214267
21-May,"4,191.98","4,238.04","4,056.88","4,204.11",-93.39,-2.173123909
21-Apr,"3,992.78","4,218.78","3,992.78","4,181.17",-22.94,-0.545656512
21-Mar,"3,842.51","3,994.41","3,723.34","3,972.89",-208.28,-4.98138081
21-Feb,"3,731.17","3,950.43","3,725.62","3,811.15",-161.74,-4.071091825
21-Jan,"3,764.61","3,870.90","3,662.71","3,714.24",-96.91,-2.542802041
