month,inflate_val,inflate_chg,inflate_pct,int_val,int_chg,int_pct,unemp_val,unemp_chg,unemp_pct
2017-01,2.5,0,0,0.75,0,0,4.7,-0.1,-2.127659574
2017-02,2.7,0.2,8,0.75,0,0,4.6,-0.1,-2.127659574
2017-03,2.4,-0.3,-11.11111111,1,0.25,33.33333333,4.4,-0.2,-4.347826087
2017-04,2.2,-0.2,-8.333333333,1,0,0,4.4,0,0
2017-05,1.9,-0.3,-13.63636364,1,0,0,4.4,0,0
2017-06,1.6,-0.3,-15.78947368,1.25,0.25,25,4.3,-0.1,-2.272727273
2017-07,1.7,0.1,6.25,1.25,0,0,4.3,0,0
2017-08,1.9,0.2,11.76470588,1.25,0,0,4.4,0.1,2.325581395
2017-09,2.2,0.3,15.78947368,1.25,0,0,4.3,-0.1,-2.272727273
2017-10,2,-0.2,-9.090909091,1.25,0,0,4.2,-0.1,-2.325581395
2017-11,2.2,0.2,10,1.25,0,0,4.2,0,0
2017-12,2.1,-0.1,-4.545454545,1.5,0.25,20,4.1,-0.1,-2.380952381
2018-01,2.1,0,0,1.5,0,0,4,-0.1,-2.43902439
2018-02,2.2,0.1,4.761904762,1.5,0,0,4.1,0.1,2.5
2018-03,2.4,0.2,9.090909091,1.75,0.25,16.66666667,4,-0.1,-2.43902439
2018-04,2.5,0.1,4.166666667,1.75,0,0,4,0,0
2018-05,2.8,0.3,12,1.75,0,0,3.8,-0.2,-5
2018-06,2.9,0.1,3.571428571,2,0.25,14.28571429,4,0.2,5.263157895
2018-07,2.9,0,0,2,0,0,3.8,-0.2,-5
2018-08,2.7,-0.2,-6.896551724,2,0,0,3.8,0,0
2018-09,2.3,-0.4,-14.81481481,2.25,0.25,12.5,3.7,-0.1,-2.631578947
2018-10,2.5,0.2,8.695652174,2.25,0,0,3.8,0.1,2.702702703
2018-11,2.2,-0.3,-12,2.25,0,0,3.8,0,0
2018-12,1.9,-0.3,-13.63636364,2.5,0.25,11.11111111,3.9,0.1,2.631578947
2019-01,1.6,-0.3,-15.78947368,2.5,0,0,4,0.1,2.564102564
2019-02,1.5,-0.1,-6.25,2.5,0,0,3.8,-0.2,-5
2019-03,1.9,0.4,26.66666667,2.5,0,0,3.8,0,0
2019-04,2,0.1,5.263157895,2.5,0,0,3.6,-0.2,-5.263157895
2019-05,1.8,-0.2,-10,2.5,0,0,3.6,0,0
2019-06,1.6,-0.2,-11.11111111,2.5,0,0,3.6,0,0
2019-07,1.8,0.2,12.5,2.25,-0.25,-10,3.7,0.1,2.777777778
2019-08,1.7,-0.1,-5.555555556,2.25,0,0,3.7,0,0
2019-09,1.7,0,0,2,-0.25,-11.11111111,3.5,-0.2,-5.405405405
2019-10,1.8,0.1,5.882352941,1.75,-0.25,-12.5,3.6,0.1,2.857142857
2019-11,2.1,0.3,16.66666667,1.75,0,0,3.6,0,0
2019-12,2.3,0.2,9.523809524,1.75,0,0,3.6,0,0
2020-01,2.5,0.2,8.695652174,1.75,0,0,3.5,-0.1,-2.777777778
2020-02,2.3,-0.2,-8,1.75,0,0,3.5,0,0
2020-03,1.5,-0.8,-34.7826087,0.25,-1.5,-85.71428571,4.4,0.9,25.71428571
2020-04,0.3,-1.2,-80,0.25,0,0,14.7,10.3,234.0909091
2020-05,0.1,-0.2,-66.66666667,0.25,0,0,13.2,-1.5,-10.20408163
2020-06,0.6,0.5,500,0.25,0,0,11,-2.2,-16.66666667
2020-07,1,0.4,66.66666667,0.25,0,0,10.2,-0.8,-7.272727273
2020-08,1.3,0.3,30,0.25,0,0,8.4,-1.8,-17.64705882
2020-09,1.4,0.1,7.692307692,0.25,0,0,7.9,-0.5,-5.952380952
2020-10,1.2,-0.2,-14.28571429,0.25,0,0,6.9,-1,-12.65822785
2020-11,1.2,0,0,0.25,0,0,6.7,-0.2,-2.898550725
2020-12,1.4,0.2,16.66666667,0.25,0,0,6.7,0,0
2021-01,1.4,0,0,0.25,0,0,6.4,-0.3,-4.47761194
2021-02,1.7,0.3,21.42857143,0.25,0,0,6.2,-0.2,-3.125
2021-03,2.6,0.9,52.94117647,0.25,0,0,6,-0.2,-3.225806452
2021-04,4.2,1.6,61.53846154,0.25,0,0,6,0,0
2021-05,5,0.8,19.04761905,0.25,0,0,5.8,-0.2,-3.333333333
2021-06,5.4,0.4,8,0.25,0,0,5.9,0.1,1.724137931
2021-07,5.4,0,0,0.25,0,0,5.4,-0.5,-8.474576271
2021-08,5.3,-0.1,-1.851851852,0.25,0,0,5.2,-0.2,-3.703703704
2021-09,5.4,0.1,1.886792453,0.25,0,0,4.7,-0.5,-9.615384615
2021-10,6.2,0.8,14.81481481,0.25,0,0,4.6,-0.1,-2.127659574
2021-11,6.8,0.6,9.677419355,0.25,0,0,4.2,-0.4,-8.695652174
2021-12,6.8,0,0,0.25,0,0,3.9,-0.3,-7.142857143
