Category,DateTime,Value,Value Difference
Money Supply M0,2017-01-31,3595500,
Money Supply M0,2017-02-28,3746400,150900.0
Money Supply M0,2017-03-31,3856300,109900.0
Money Supply M0,2017-04-30,3821700,-34600.0
Money Supply M0,2017-05-31,3774400,-47300.0
Money Supply M0,2017-06-30,3762800,-11600.0
Money Supply M0,2017-07-31,3795400,32600.0
Money Supply M0,2017-08-31,3910000,114600.0
Money Supply M0,2017-09-30,3874500,-35500.0
Money Supply M0,2017-10-31,3829900,-44600.0
Money Supply M0,2017-11-30,3907700,77800.0
Money Supply M0,2017-12-31,3851000,-56700.0
Money Supply M0,2018-01-31,3824800,-26200.0
Money Supply M0,2018-02-28,3855100,30300.0
Money Supply M0,2018-03-31,3800600,-54500.0
Money Supply M0,2018-04-30,3727100,-73500.0
Money Supply M0,2018-05-31,3674800,-52300.0
Money Supply M0,2018-06-30,3650500,-24300.0
Money Supply M0,2018-07-31,3618300,-32200.0
Money Supply M0,2018-08-31,3584500,-33800.0
Money Supply M0,2018-09-30,3559800,-24700.0
Money Supply M0,2018-10-31,3520900,-38900.0
Money Supply M0,2018-11-30,3476300,-44600.0
Money Supply M0,2018-12-31,3400700,-75600.0
Money Supply M0,2019-01-31,3346900,-53800.0
Money Supply M0,2019-02-28,3353500,6600.0
Money Supply M0,2019-03-31,3381500,28000.0
Money Supply M0,2019-04-30,3286700,-94800.0
Money Supply M0,2019-05-31,3244500,-42200.0
Money Supply M0,2019-06-30,3274800,30300.0
Money Supply M0,2019-07-31,3260300,-14500.0
Money Supply M0,2019-08-31,3271400,11100.0
Money Supply M0,2019-09-30,3202700,-68700.0
Money Supply M0,2019-10-31,3252800,50100.0
Money Supply M0,2019-11-30,3315600,62800.0
Money Supply M0,2019-12-31,3426500,110900.0
Money Supply M0,2020-01-31,3442600,16100.0
Money Supply M0,2020-02-29,3454500,11900.0
Money Supply M0,2020-03-31,3883100,428600.0
Money Supply M0,2020-04-30,4844900,961800.0
Money Supply M0,2020-05-31,5149400,304500.0
Money Supply M0,2020-06-30,5001800,-147600.0
Money Supply M0,2020-07-31,4700300,-301500.0
Money Supply M0,2020-08-31,4807400,107100.0
Money Supply M0,2020-09-30,4880300,72900.0
Money Supply M0,2020-10-31,4917100,36800.0
Money Supply M0,2020-11-30,5093000,175900.0
Money Supply M0,2020-12-31,5206500,113500.0
Money Supply M0,2021-01-31,5248000,41500.0
Money Supply M0,2021-02-28,5446800,198800.0
Money Supply M0,2021-03-31,5839000,392200.0
Money Supply M0,2021-04-30,6042100,203100.0
Money Supply M0,2021-05-31,6041900,-200.0
Money Supply M0,2021-06-30,6027100,-14800.0
Money Supply M0,2021-07-31,6130300,103200.0
Money Supply M0,2021-08-31,6328800,198500.0
Money Supply M0,2021-09-30,6388900,60100.0
Money Supply M0,2021-10-31,6331000,-57900.0
Money Supply M0,2021-11-30,6394800,63800.0
