symbol,date,value
erntsldsoq176n,2000-04-01T00:00:00,355
erntsldsoq176n,2000-07-01T00:00:00,365
erntsldsoq176n,2000-10-01T00:00:00,288
erntsldsoq176n,2001-01-01T00:00:00,308
erntsldsoq176n,2001-04-01T00:00:00,395
erntsldsoq176n,2001-07-01T00:00:00,365
erntsldsoq176n,2001-10-01T00:00:00,218
erntsldsoq176n,2002-01-01T00:00:00,267
erntsldsoq176n,2002-04-01T00:00:00,342
erntsldsoq176n,2002-07-01T00:00:00,314
erntsldsoq176n,2002-10-01T00:00:00,323
erntsldsoq176n,2003-01-01T00:00:00,319
erntsldsoq176n,2003-04-01T00:00:00,411
erntsldsoq176n,2003-07-01T00:00:00,410
erntsldsoq176n,2003-10-01T00:00:00,396
erntsldsoq176n,2004-01-01T00:00:00,411
erntsldsoq176n,2004-04-01T00:00:00,427
erntsldsoq176n,2004-07-01T00:00:00,411
erntsldsoq176n,2004-10-01T00:00:00,352
erntsldsoq176n,2005-01-01T00:00:00,345
erntsldsoq176n,2005-04-01T00:00:00,410
erntsldsoq176n,2005-07-01T00:00:00,459
erntsldsoq176n,2005-10-01T00:00:00,437
erntsldsoq176n,2006-01-01T00:00:00,448
erntsldsoq176n,2006-04-01T00:00:00,504
erntsldsoq176n,2006-07-01T00:00:00,447
erntsldsoq176n,2006-10-01T00:00:00,442
erntsldsoq176n,2007-01-01T00:00:00,438
erntsldsoq176n,2007-04-01T00:00:00,496
erntsldsoq176n,2007-07-01T00:00:00,526
erntsldsoq176n,2007-10-01T00:00:00,442
erntsldsoq176n,2008-01-01T00:00:00,495
erntsldsoq176n,2008-04-01T00:00:00,489
erntsldsoq176n,2008-07-01T00:00:00,477
erntsldsoq176n,2008-10-01T00:00:00,410
erntsldsoq176n,2009-01-01T00:00:00,413
erntsldsoq176n,2009-04-01T00:00:00,461
erntsldsoq176n,2009-07-01T00:00:00,400
erntsldsoq176n,2009-10-01T00:00:00,355
erntsldsoq176n,2010-01-01T00:00:00,339
erntsldsoq176n,2010-04-01T00:00:00,374
erntsldsoq176n,2010-07-01T00:00:00,421
erntsldsoq176n,2010-10-01T00:00:00,351
erntsldsoq176n,2011-01-01T00:00:00,331
erntsldsoq176n,2011-04-01T00:00:00,385
erntsldsoq176n,2011-07-01T00:00:00,416
erntsldsoq176n,2011-10-01T00:00:00,345
erntsldsoq176n,2012-01-01T00:00:00,346
erntsldsoq176n,2012-04-01T00:00:00,440
erntsldsoq176n,2012-07-01T00:00:00,468
erntsldsoq176n,2012-10-01T00:00:00,353
erntsldsoq176n,2013-01-01T00:00:00,365
erntsldsoq176n,2013-04-01T00:00:00,460
erntsldsoq176n,2013-07-01T00:00:00,477
erntsldsoq176n,2013-10-01T00:00:00,429
erntsldsoq176n,2014-01-01T00:00:00,435
erntsldsoq176n,2014-04-01T00:00:00,469
erntsldsoq176n,2014-07-01T00:00:00,459
erntsldsoq176n,2014-10-01T00:00:00,417
erntsldsoq176n,2015-01-01T00:00:00,426
erntsldsoq176n,2015-04-01T00:00:00,453
erntsldsoq176n,2015-07-01T00:00:00,470
erntsldsoq176n,2015-10-01T00:00:00,434
erntsldsoq176n,2016-01-01T00:00:00,415
erntsldsoq176n,2016-04-01T00:00:00,435
erntsldsoq176n,2016-07-01T00:00:00,503
erntsldsoq176n,2016-10-01T00:00:00,419
erntsldsoq176n,2017-01-01T00:00:00,417
erntsldsoq176n,2017-04-01T00:00:00,455
erntsldsoq176n,2017-07-01T00:00:00,571
erntsldsoq176n,2017-10-01T00:00:00,407
erntsldsoq176n,2018-01-01T00:00:00,451
erntsldsoq176n,2018-04-01T00:00:00,536
erntsldsoq176n,2018-07-01T00:00:00,451
erntsldsoq176n,2018-10-01T00:00:00,419
erntsldsoq176n,2019-01-01T00:00:00,416
erntsldsoq176n,2019-04-01T00:00:00,469
erntsldsoq176n,2019-07-01T00:00:00,461
erntsldsoq176n,2019-10-01T00:00:00,409
erntsldsoq176n,2020-01-01T00:00:00,351
erntsldsoq176n,2020-04-01T00:00:00,397
erntsldsoq176n,2020-07-01T00:00:00,350
erntsldsoq176n,2020-10-01T00:00:00,404
erntsldsoq176n,2021-01-01T00:00:00,348
erntsldsoq176n,2021-04-01T00:00:00,451
erntsldsoq176n,2021-07-01T00:00:00,440
