STATE,NAME,
23,Maine,"'23',"
25,Massachusetts,"'25',"
26,Michigan,"'26',"
30,Montana,"'30',"
32,Nevada,"'32',"
34,New Jersey,"'34',"
36,New York,"'36',"
37,North Carolina,"'37',"
39,Ohio,"'39',"
42,Pennsylvania,"'42',"
44,Rhode Island,"'44',"
47,Tennessee,"'47',"
48,Texas,"'48',"
49,Utah,"'49',"
53,Washington,"'53',"
55,Wisconsin,"'55',"
72,Puerto Rico,"'72',"
24,Maryland,"'24',"
01,Alabama,"'01',"
02,Alaska,"'02',"
04,Arizona,"'04',"
05,Arkansas,"'05',"
06,California,"'06',"
08,Colorado,"'08',"
09,Connecticut,"'09',"
10,Delaware,"'10',"
11,District of Columbia,"'11',"
12,Florida,"'12',"
13,Georgia,"'13',"
15,Hawaii,"'15',"
16,Idaho,"'16',"
17,Illinois,"'17',"
18,Indiana,"'18',"
19,Iowa,"'19',"
20,Kansas,"'20',"
21,Kentucky,"'21',"
22,Louisiana,"'22',"
27,Minnesota,"'27',"
28,Mississippi,"'28',"
29,Missouri,"'29',"
31,Nebraska,"'31',"
33,New Hampshire,"'33',"
35,New Mexico,"'35',"
38,North Dakota,"'38',"
40,Oklahoma,"'40',"
41,Oregon,"'41',"
45,South Carolina,"'45',"
46,South Dakota,"'46',"
50,Vermont,"'50',"
51,Virginia,"'51',"
54,West Virginia,"'54',"
56,Wyoming,"'56',"
